科目ナンバリング,科目名,氏名,曜時限
U-LAS10 20003 LJ55,"微分積分学続論II－微分方程式2T23, 2T24",矢ヶ崎　一幸,水4
U-LAS10 20001 LJ55,"微分積分学続論Ｉ－ベクトル解析2T23, 2T24",柴山　允瑠,木3
U-LAS10 10007 LJ55,線形代数学（講義・演義）Ａ1T18,中安　淳,火1・水2
U-LAS10 10010 LJ55,線形代数学（講義・演義）Ｂ1T18,原田　雅名,火1・水2
U-LAS10 10001 LJ55,微分積分学（講義・演義）Ａ1T20,井上　義也,火2・水2
U-LAS10 10004 LJ55,微分積分学（講義・演義）Ｂ1T20,高棹　圭介,火2・水2
U-LAS10 10001 LJ55,"微分積分学（講義・演義）Ａ1M4, 1M6",上野　智弘,水1・木1
U-LAS10 10001 LJ55,微分積分学（講義・演義）Ａ1A4,神　貞介,月2・水4
U-LAS10 10001 LJ55,微分積分学（講義・演義）Ａ1φ2,桑垣　樹,水2・金3
U-LAS10 10001 LJ55,微分積分学（講義・演義）Ａ1A1,岡安　類,火2・水3
U-LAS10 10001 LJ55,微分積分学（講義・演義）Ａ1φ1,桑垣　樹,水1・金3
U-LAS10 10001 LJ55,微分積分学（講義・演義）Ａ1A2,岡安　類,火2・水4
U-LAS10 10007 LJ55,線形代数学（講義・演義）Ａ1A4,名倉　誠,火2・水4
U-LAS10 10007 LJ55,"線形代数学（講義・演義）Ａ1M4, 1M6",大塚　研一,火2・水1
U-LAS10 10007 LJ55,線形代数学（講義・演義）Ａ1φ1,木坂　正史,水1・木2
U-LAS10 10007 LJ55,線形代数学（講義・演義）Ａ1φ2,木坂　正史,水2・木2
U-LAS10 10007 LJ55,線形代数学（講義・演義）Ａ1A1,西村　進,月2・水3
U-LAS10 10007 LJ55,線形代数学（講義・演義）Ａ1A2,平賀　郁,月2・水4
U-LAS10 10004 LJ55,"微分積分学（講義・演義）Ｂ1M4, 1M6",未定,水1・木1
U-LAS10 10004 LJ55,微分積分学（講義・演義）Ｂ1φ2,桑垣　樹,水2・金3
U-LAS10 10004 LJ55,"微分積分学（講義・演義）Ｂ1A1, 1A2",岡安　類,火2・水3
U-LAS10 10004 LJ55,微分積分学（講義・演義）Ｂ1φ1,桑垣　樹,水1・金3
U-LAS10 10010 LJ55,"線形代数学（講義・演義）Ｂ1M4, 1M6",未定,火2・水1
U-LAS10 10010 LJ55,線形代数学（講義・演義）Ｂ1φ1,木坂　正史,水1・木2
U-LAS10 10010 LJ55,線形代数学（講義・演義）Ｂ1φ2,木坂　正史,水2・木2
U-LAS10 10010 LJ55,"線形代数学（講義・演義）Ｂ1A1, 1A2",平賀　郁,月2・水3
U-LAS10 10007 LJ55,線形代数学（講義・演義）Ａ1A3,名倉　誠,火2・水3
U-LAS10 10010 LJ55,"線形代数学（講義・演義）Ｂ1A3, 1A4",井上　義也,火2・水4
U-LAS10 10001 LJ55,微分積分学（講義・演義）Ａ1A3,神　貞介,月2・水3
U-LAS10 10004 LJ55,"微分積分学（講義・演義）Ｂ1A3, 1A4",神　貞介,月2・水4
U-LAS10 10001 LJ55,"微分積分学（講義・演義）Ａ1M1, 1M2",原田　雅名,水1・木2
U-LAS10 10004 LJ55,微分積分学（講義・演義）Ｂ1S7,菊地　克彦,月2・木2
U-LAS10 10007 LJ55,"線形代数学（講義・演義）Ａ1M1, 1M2",吉安　徹,水1・金3
U-LAS10 10010 LJ55,線形代数学（講義・演義）Ｂ1S7,市野　篤史,木2・金2
U-LAS10 10001 LJ55,微分積分学（講義・演義）Ａ1S1,清水　扇丈,月2・木1
U-LAS10 10001 LJ55,微分積分学（講義・演義）Ａ1S2,稲生　啓行,木1・金2
U-LAS10 10001 LJ55,微分積分学（講義・演義）Ａ1S3,菊地　克彦,月2・木1
U-LAS10 10001 LJ55,微分積分学（講義・演義）Ａ1S4,窪田　陽介,木1・金2
U-LAS10 10001 LJ55,微分積分学（講義・演義）Ａ1S5,清水　扇丈,月2・木2
U-LAS10 10001 LJ55,微分積分学（講義・演義）Ａ1S6,稲生　啓行,木2・金2
U-LAS10 10004 LJ55,微分積分学（講義・演義）Ｂ1S1,清水　扇丈,月2・木1
U-LAS10 10004 LJ55,微分積分学（講義・演義）Ｂ1S2,稲生　啓行,木1・金2
U-LAS10 10004 LJ55,微分積分学（講義・演義）Ｂ1S3,浅岡　正幸,月2・木1
U-LAS10 10004 LJ55,微分積分学（講義・演義）Ｂ1S4,窪田　陽介,木1・金2
U-LAS10 10004 LJ55,微分積分学（講義・演義）Ｂ1S5,清水　扇丈,月2・木2
U-LAS10 10004 LJ55,微分積分学（講義・演義）Ｂ1S6,稲生　啓行,木2・金2
U-LAS10 10007 LJ55,線形代数学（講義・演義）Ａ1S1,井上　義也,木1・金2
U-LAS10 10007 LJ55,線形代数学（講義・演義）Ａ1S2,高村　茂,月2・木1
U-LAS10 10007 LJ55,線形代数学（講義・演義）Ａ1S3,伊藤　哲史,木1・金2
U-LAS10 10007 LJ55,線形代数学（講義・演義）Ａ1S4,鈴木　美裕,月2・木1
U-LAS10 10007 LJ55,線形代数学（講義・演義）Ａ1S5,井上　義也,木2・金2
U-LAS10 10007 LJ55,線形代数学（講義・演義）Ａ1S6,高村　茂,月2・木2
U-LAS10 10010 LJ55,線形代数学（講義・演義）Ｂ1S1,井上　義也,木1・金2
U-LAS10 10010 LJ55,線形代数学（講義・演義）Ｂ1S2,藤原　耕二,月2・木1
U-LAS10 10010 LJ55,線形代数学（講義・演義）Ｂ1S3,市野　篤史,木1・金2
U-LAS10 10010 LJ55,線形代数学（講義・演義）Ｂ1S4,鈴木　美裕,月2・木1
U-LAS10 10010 LJ55,線形代数学（講義・演義）Ｂ1S5,井上　義也,木2・金2
U-LAS10 10010 LJ55,線形代数学（講義・演義）Ｂ1S6,藤原　耕二,月2・木2
U-LAS10 20009 LJ55,関数論,吉川　謙一,火2
U-LAS10 20009 LJ55,関数論,坂上　貴之,水2
U-LAS10 20009 LJ55,関数論,木坂　正史,水3
U-LAS11 10003 LJ55,"数理統計2T7, 2T8, 2T9",杉山　登志,月1
U-LAS11 10003 LJ55,"数理統計2T23, 2T24",森　隆大,木1
U-LAS11 10003 LJ55,"数理統計2S1, 2S2, 2S3, 2S4, 2S5, 2S6, 2S7, 2S8",日野　正訓,月2
U-LAS11 10003 LJ55,"数理統計2T10, 2T11, 2T12",上木　直昌,水2
U-LAS11 10003 LJ55,"数理統計2T13, 2T14, 2T15, 2T16",石井　信,月2
U-LAS11 10003 LJ55,"数理統計2A5, 2A6, 2A7, 2A8",竹内　潤一郎,金1
U-LAS12 20005 LJ57,解析力学,成木　恵,木4
U-LAS12 10011 LJ57,初修物理学Ａ,石井　裕剛,月3
U-LAS12 10016 LJ57,振動・波動論,森成　隆夫,火4
U-LAS12 10016 LJ57,"振動・波動論2T5, 2T6",吉田　鉄平,金2
U-LAS12 10016 LJ57,振動・波動論,木下　俊哉,木3
U-LAS12 10016 LJ57,振動・波動論,吉田　恒也,水2
U-LAS12 10016 LJ57,振動・波動論,中尾　恵,金3
U-LAS12 10016 LJ57,振動・波動論,木下　勝之,火2
U-LAS12 10018 LJ57,"電磁気学続論2S1, 2S2, 2S3, 2S4, 2S5, 2S6, 2S7, 2S8",松田　祐司,火1
U-LAS12 10018 LJ57,"電磁気学続論2T11, 2T12",江利口　浩二,火2
U-LAS12 10018 LJ57,"電磁気学続論2T9, 2T10",松尾　二郎,火2
U-LAS12 10018 LJ57,"電磁気学続論2T7, 2T8",蓮尾　昌裕,水2
U-LAS12 20001 LJ57,"統計物理学2T13, 2T14, 2T15, 2T16",掛谷　一弘,水1
U-LAS12 20003 LJ57,特殊相対論,阪上　雅昭,火4
U-LAS12 10009 LJ57,熱力学,市川　正敏,火1
U-LAS12 10009 LJ57,熱力学,川那辺　洋,月3
U-LAS12 10009 LJ57,熱力学,柏谷　悦章,水2
U-LAS12 10009 LJ57,"熱力学2T5, 2T6",木下　俊哉,火2
U-LAS12 10009 LJ57,熱力学,高井　茂臣,火1
U-LAS12 10009 LJ57,熱力学,佐々　真一,水4
U-LAS12 10009 LJ57,熱力学,山本　潤,水1
U-LAS12 10001 LJ57,"物理学基礎論Ａ1S7, 1S8",石田　憲二,月4
U-LAS12 10001 LJ57,"物理学基礎論Ａ1A1, 1A2, 1A3, 1A4",佐々木　豊,火1
U-LAS12 10001 LJ57,"物理学基礎論Ａ1T17, 1T18, 1T19",安部　正高,金1
U-LAS12 10001 LJ57,"物理学基礎論Ａ1H1, 1H2, 1H3, 1M4, 1M5, 1M6, 1φ1, 1φ2",高木　紀明,火1
U-LAS12 10001 LJ57,"物理学基礎論Ａ1T5, 1T6",笠原　裕一,木2
U-LAS12 10001 LJ57,"物理学基礎論Ａ1T7, 1T8, 1T9",吉岡　興一,木1
U-LAS12 10001 LJ57,"物理学基礎論Ａ1T10, 1T11, 1T12",岩室　史英,木1
U-LAS12 10001 LJ57,"物理学基礎論Ａ1T20, 1T21, 1T22",藤本　仁,金1
U-LAS12 10001 LJ57,"物理学基礎論Ａ1A6, 1A7, 1A8",野上　大作,火1
U-LAS12 10001 LJ57,"物理学基礎論Ａ1S4, 1S5, 1S6",角五　彰,月4
U-LAS12 10001 LJ57,"物理学基礎論Ａ1S1, 1S2, 1S3",橋本　幸士,月4
U-LAS12 10001 LJ57,"物理学基礎論Ａ1T1, 1T2",後藤　仁志,金1
U-LAS12 10001 LJ57,"物理学基礎論Ａ1T23, 1T24",梅野　健,水4
U-LAS12 10001 LJ57,"物理学基礎論Ａ1T3, 1T4",八木　知己,金1
U-LAS12 10001 LJ57,"物理学基礎論Ａ1T13, 1T14, 1T15, 1T16",銭廣　十三,水4
U-LAS12 10004 LJ57,"物理学基礎論Ｂ1T3, 1T4",吉田　鉄平,金1
U-LAS12 10004 LJ57,"物理学基礎論Ｂ1M1, 1M2, 1M3",藤原　直樹,火1
U-LAS12 10004 LJ57,"物理学基礎論Ｂ1T19, 1T20, 1T21, 1T22",高須　洋介,金1
U-LAS12 10004 LJ57,"物理学基礎論Ｂ1H1, 1H2, 1H3, 1M4, 1M5, 1M6, 1φ1, 1φ2",森成　隆夫,火1
U-LAS12 10004 LJ57,"物理学基礎論Ｂ1A1, 1A2, 1A3, 1A4",鶴　剛,火1
U-LAS12 10004 LJ57,"物理学基礎論Ｂ1A6, 1A7, 1A8",土井　俊哉,火1
U-LAS12 10004 LJ57,"物理学基礎論Ｂ1T1, 1T2, 1T17, 1T18",田中　仁,金1
U-LAS12 10004 LJ57,"物理学基礎論Ｂ1T5, 1T6",石澤　明宏,木2
U-LAS12 10004 LJ57,"物理学基礎論Ｂ1S7, 1S8",横山　央明,月4
U-LAS12 10004 LJ57,"物理学基礎論Ｂ1S1, 1S2, 1S3",永江　知文,月4
U-LAS12 10004 LJ57,"物理学基礎論Ｂ1T10, 1T11, 1T12",前田　啓一,木1
U-LAS12 10004 LJ57,"物理学基礎論Ｂ1T7, 1T8, 1T9",打田　正樹,木1
U-LAS12 10004 LJ57,"物理学基礎論Ｂ1S4, 1S5, 1S6",中家　剛,月4
U-LAS12 10004 LJ57,"物理学基礎論Ｂ1T23, 1T24",辻　徹郎,水4
U-LAS12 10007 EJ57,"物理学実験1S1, 1S2, 1S3",石田　憲二,金3・金4
U-LAS12 10007 EJ57,"物理学実験1H1, 1H2, 1H3, 1T10",物理学実験授業担当教員,月3・月4
U-LAS12 10007 EJ57,"物理学実験1T17, 1T18, 1T19",物理学実験授業担当教員,水3・水4
U-LAS12 10007 EJ57,"物理学実験1T13, 1T14, 1T15, 1T16, 1T23, 1T24",物理学実験授業担当教員,木3・木4
U-LAS12 10007 EJ57,"物理学実験1S6, 1S7, 1S8, 1A6",物理学実験授業担当教員,火3・火4
U-LAS12 10007 EJ57,"物理学実験1T7, 1T8, 1T9",物理学実験授業担当教員,月3・月4
U-LAS12 10007 EJ57,"物理学実験1S4, 1S5",物理学実験授業担当教員,金3・金4
U-LAS12 10007 EJ57,"物理学実験1M4, 1M5, 1M6, 1T3, 1T4, 1T20, 1T21, 1T22",物理学実験授業担当教員,水3・水4
U-LAS12 10007 EJ57,"物理学実験1T11, 1T12",物理学実験授業担当教員,木3・木4
U-LAS12 10007 EJ57,"物理学実験1T1, 1T2, 1T5, 1T6",物理学実験授業担当教員,火3・火4
U-LAS12 20007 LJ57,量子物理学,杉本　茂樹,月3
U-LAS12 10014 LJ57,"力学続論1S3, 1S6, 1S7, 1S8",荒木　武昭,月3
U-LAS12 10014 LJ57,"力学続論1T15, 1T16",菅沼　秀夫,火4
U-LAS12 10014 LJ57,力学続論,幸坂　祐生,水4
U-LAS12 10014 LJ57,"力学続論1T13, 1T14",細川　隆史,火4
U-LAS12 10014 LJ57,"力学続論1S1, 1S2, 1S4, 1S5",中　暢子,火3
U-LAS12 10001 LJ57,"物理学基礎論Ａ1M1, 1M2, 1M3",藤原　直樹,火1
U-LAS12 10016 LJ57,振動・波動論,森成　隆夫,月3
U-LAS12 10013 LJ57,初修物理学Ｂ,奥村　英之,木5
U-LAS12 20001 LJ57,統計物理学,森成　隆夫,月4
U-LAS12 10016 LJ57,振動・波動論,薄　良彦,火5
U-LAS12 10023 LJ57,みんなの物理Ｉ,舟橋　春彦,火3
U-LAS12 10024 LJ57,みんなの物理II,舟橋　春彦,火3
U-LAS12 10009 LJ57,熱力学,森成　隆夫,月4
U-LAS12 10014 LJ57,力学続論,高木　紀明,水2
U-LAS12 10009 LJ57,熱力学,森成　隆夫,火4
U-LAS13 20003 LJ60,無機化学入門Ａ,田部　勢津久,月2
U-LAS13 20005 LJ60,無機化学入門Ｂ,田部　勢津久,月2
U-LAS13 10011 EJ60,"基礎化学実験1T7, 1T8, 1T9",基礎化学実験授業担当教員,月3・月4
U-LAS13 10011 EJ60,"基礎化学実験1A1, 1A2, 1A3, 1A4, 1A7, 1A8",基礎化学実験授業担当教員,火3・火4
U-LAS13 10011 EJ60,"基礎化学実験1T20, 1T21, 1T22",基礎化学実験授業担当教員,水3・水4
U-LAS13 10011 EJ60,"基礎化学実験1M4, 1T11, 1T12",基礎化学実験授業担当教員,木3・木4
U-LAS13 10011 EJ60,"基礎化学実験1S4, 1S5, 1S6, 1T3, 1T4",基礎化学実験授業担当教員,金3・金4
U-LAS13 10011 EJ60,"基礎化学実験1φ1, 1φ2, 1T10",基礎化学実験授業担当教員,月3・月4
U-LAS13 10011 EJ60,"基礎化学実験1H1, 1H2, 1H3, 1S3, 1S7, 1S8, 1A1, 1A2, 1A3, 1A4, 1A7, 1A8",基礎化学実験授業担当教員,火3・火4
U-LAS13 10011 EJ60,"基礎化学実験1T17, 1T18, 1T19",基礎化学実験授業担当教員,水3・水4
U-LAS13 10011 EJ60,"基礎化学実験1S1, 1S2, 1M5, 1M6, 1T1, 1T2",基礎化学実験授業担当教員,金3・金4
U-LAS13 20003 LJ60,無機化学入門Ａ,内本　喜晴,金2
U-LAS13 20005 LJ60,無機化学入門Ｂ,内本　喜晴,金2
U-LAS13 10018 LJ60,生活と環境の化学,杉山　雅人,水2
U-LAS13 10017 LJ60,自然と環境の化学,杉山　雅人,水2
U-LAS13 10005 LJ60,"基礎物理化学（量子論）1H1, 1H2, 1H3",梶井　克純,金3
U-LAS13 10005 LJ60,"基礎物理化学（量子論）1T9, 1T10",内本　喜晴,水4
U-LAS13 10005 LJ60,"基礎物理化学（量子論）1T11, 1T12",吉田　寿雄,水4
U-LAS13 20009 SJ60,探究型化学課題演習III －有機化合物の化学－,藤田　健一,水3・水4
U-LAS13 10003 LJ60,"基礎物理化学（熱力学）1H1, 1H2, 1H3",梶井　克純,金3
U-LAS13 10003 LJ60,"基礎物理化学（熱力学）1T11, 1T12",吉田　寿雄,水4
U-LAS13 10003 LJ60,"基礎物理化学（熱力学）1T9, 1T10",内本　喜晴,水4
U-LAS13 10013 LJ60,化学概論Ｉ,中村　敏浩,金5
U-LAS13 10014 LJ60,化学概論II,中村　敏浩,金5
U-LAS13 10010 LJ60,"基礎有機化学II1H1, 1H2, 1H3",廣戸　聡,月1
U-LAS13 10010 LJ60,"基礎有機化学II1M1, 1M2, 1M3",小松　直樹,月1
U-LAS13 10007 LJ60,"基礎有機化学Ｉ1H1, 1H2, 1H3",廣戸　聡,月1
U-LAS13 10007 LJ60,"基礎有機化学Ｉ1M1, 1M2, 1M3",小松　直樹,月1
U-LAS13 10007 LJ60,"基礎有機化学Ｉ1T1, 1T2",藤田　健一,月1
U-LAS13 10007 LJ60,"基礎有機化学Ｉ1T3, 1T4",藤田　健一,木2
U-LAS13 10010 LJ60,基礎有機化学II,藤田　健一,月5
U-LAS13 20001 SJ60,有機化学演習Ａ,廣戸　聡,水5
U-LAS13 20002 SJ60,有機化学演習Ｂ,廣戸　聡,水5
U-LAS13 10007 LJ60,"基礎有機化学Ｉ1M4, 1M5, 1M6",津江　広人,月1
U-LAS70 10001 SJ50,ILASセミナー ：微生物ってなに？-身の回りの微生物,宮下　英明,月5
U-LAS14 20008 LJ68,植物自然史II,瀬戸口　浩彰,金1
U-LAS14 10006 PJ68,生物学実習II ［自然史コース］,西川　完途,水3・水4
U-LAS14 10005 PJ69,生物学実習Ｉ ［基礎コース］,瀬戸口　浩彰,月3・月4
U-LAS14 10005 PJ69,生物学実習Ｉ ［基礎コース］,市岡　孝朗,金3・金4
U-LAS14 20013 LJ68,藻類学概論,宮下　英明,火1
U-LAS14 10007 PJ68,生物学実習III ［細胞と分子生物学コース］,宮下　英明,月3・月4
U-LAS14 20012 LJ68,行動生態学入門,市岡　孝朗,木1
U-LAS14 10006 PJ68,生物学実習II ［自然史コース］,市岡　孝朗,水3・水4
U-LAS14 20007 LJ68,植物自然史Ｉ,瀬戸口　浩彰,金1
U-LAS14 10007 PJ68,生物学実習III ［細胞と分子生物学コース］,土屋　徹,月3・月4
U-LAS14 20006 LJ68,動物自然史II,西川　完途,金1
U-LAS14 20017 LJ68,「生命の進化」概論,土屋　徹,火1
U-LAS15 20001 LJ58,フィールド地球科学,小木曽　哲,火2
U-LAS15 10007 LJ58,地球の営みＩ －環境変動,石村　豊穂,月5
U-LAS15 10009 LJ58,地球の営みII －地球史,小木曽　哲,月5
U-LAS15 20005 LJ58,太陽系と地球の物質,小木曽　哲,木2
U-LAS15 10001 LJ58,"基礎地球科学A （現在の地球の活動と私たち）1H1, 1H2, 1H3, 1S1, 1S2, 1S3, 1S4, 1S5, 1S6, 1S7, 1S8",加藤　護,金1
U-LAS15 10003 LJ58,"基礎地球科学B （地球誕生から現在まで）1H1, 1H2, 1H3, 1S1, 1S2, 1S3, 1S4, 1S5, 1S6, 1S7, 1S8",加藤　護,金1
U-LAS15 10001 LJ58,"基礎地球科学A （地球システムの歴史と変遷）1H1, 1H2, 1H3, 1S1, 1S2, 1S3, 1S4, 1S5, 1S6, 1S7, 1S8",石村　豊穂,金1
U-LAS15 10003 LJ58,"基礎地球科学B （地球システムと環境）1H1, 1H2, 1H3, 1S1, 1S2, 1S3, 1S4, 1S5, 1S6, 1S7, 1S8",石村　豊穂,金1
U-LAS15 10006 LJ58,地球科学入門 －ダイナミクス,岡林　識起,火2
U-LAS15 10005 EJ58,"地球科学実験1S3, 1S6, 1S7, 1S8",小木曽　哲,金3・金4
U-LAS15 10005 EJ58,"地球科学実験1H1, 1H2, 1H3, 1S1, 1S2, 1S4, 1S5",小木曽　哲,火3・火4
U-LAS14 20039 LJ68,神経科学の基礎,水原　啓暁,木4
U-LAS14 20040 LJ68,神経生理学の基礎 －生体情報論－,細川　浩,月3
U-LAS30 20001 LJ10,情報数学Ｉ,三好　博之,月3
U-LAS30 20002 LJ10,情報数学II,三好　博之,月3
U-LAS16 10001 LJ55,"図学Ａ1T3, 1T4",前田　昌弘,火4
U-LAS16 10001 LJ55,"図学Ａ1T1, 1T2",中嶋　節子,火4
U-LAS16 10001 LJ55,図学Ａ1T6,前田　昌弘,水4
U-LAS16 10001 LJ55,図学Ａ,山本　直彦,火2
U-LAS16 10001 LJ55,図学Ａ1T5,中嶋　節子,水4
U-LAS16 10001 LJ55,図学Ａ,山本　直彦,火3
U-LAS16 10002 LJ55,"図学Ｂ1T5, 1T6",中嶋　節子,水4
U-LAS16 10002 LJ55,図学Ｂ,前田　昌弘,火4
U-LAS12 20008 LJ57,やわらかな物理学－物質と生命の本質を探る,山本　潤,木5
U-LAS15 10011 LJ56,宇宙科学入門,太田　耕司,水4
U-LAS15 10011 LJ56,宇宙科学入門,太田　耕司,水4
U-LAS15 10011 LJ56,宇宙科学入門,太田　耕司,水5
U-LAS15 10011 LJ56,宇宙科学入門,太田　耕司,水5
U-LAS14 10002 LJ69,"個体と集団の基礎生物学1A1, 1A2, 1A3, 1A4",森　哲,火4
U-LAS14 10002 LJ69,"個体と集団の基礎生物学1A7, 1A8",中野　隆文,火4
U-LAS14 10002 LJ69,"個体と集団の基礎生物学1S1, 1S2, 1S3, 1S4",中野　隆文,水1
U-LAS14 10002 LJ69,"個体と集団の基礎生物学1S5, 1S6, 1S7, 1S8",中野　隆文,水1
U-LAS14 10002 LJ69,"個体と集団の基礎生物学1A1, 1A2, 1A3, 1A4",中野　隆文,金2
U-LAS14 10003 LJ69,"細胞と分子の基礎生物学1A1, 1A2, 1A3, 1A4",今元　泰,月1
U-LAS14 10003 LJ69,"細胞と分子の基礎生物学1A7, 1A8",小山　時隆,月1
U-LAS14 10003 LJ69,"細胞と分子の基礎生物学1S1, 1S2, 1S3, 1S4",今元　泰,水4
U-LAS14 10003 LJ69,"細胞と分子の基礎生物学1S5, 1S6, 1S7, 1S8",秋山　秋梅,水4
U-LAS14 10003 LJ69,"細胞と分子の基礎生物学1M4, 1M5, 1M6",山下　高廣,月4
U-LAS14 20010 LJ68,自然人類学Ｉ,中村　美知夫,水2
U-LAS14 20011 LJ68,自然人類学II,中務　真人,水2
U-LAS14 20024 LJ68,生物物理学入門,森　和俊,月5
U-LAS12 20012 LJ57,低温科学Ａ,石田　憲二,木4
U-LAS12 20013 LJ57,低温科学Ｂ,植田　浩明,金5
U-LAS15 10017 PJ56,天体観測実習,野上　大作,集中岡山天文台：8月7日(月)～11日(金) 　飛騨天文台：8月21日(月)～25日(金)
U-LAS10 20011 LJ55,非線型数学,磯　祐介,木3
U-LAS15 10015 LJ58,地球の物理,久家　慶子,木5
U-LAS10 20013 SJ55,非線型数学セミナー,磯　祐介,金4
U-LAS12 20009 LJ57,現代の素粒子像,中家　剛,金5
U-LAS15 10016 LJ58,地球の誕生と進化,生形　貴男,火5
U-LAS10 10002 LE55,Calculus with Exercises A1T25,Svadlenka Karel,火2・水2
U-LAS10 10005 LE55,Calculus with Exercises B1T25,未定,火2・水2
U-LAS10 10008 LE55,Linear Algebra with Exercises A1T25,COLLINS Benoit Vincent Pierre,月3・火2
